ID,SIGNAL_NAME,OFFSET_NUM,NB_BYTES,MASK_HEX,SCALING_FACTOR,SCALING_OFFSET,VOLTAGE_DIVIDER_RATIO,UNIT,DEFAULT_VALUE,DISPLAY_TYPE
109,IC_STAT_8_REG,125,1,,,,,,0,HEX
110,VGLA,125,1,0x04,,,,,0,INT
111,VGLB,125,1,0x02,,,,,0,INT
112,VGLC,125,1,0x01,,,,,0,INT
113,s16CurRmsEmLpf_MIN,133,2,,0.0625,-2048,,A,,FLOAT
114,s16CurRmsEmLpf_MAX,135,2,,0.0625,-2048,,A,,FLOAT
115,I_LS_U_A_MIN,142,2,,0.000152588,-2.5,0.0090909,A,,FLOAT
116,I_LS_V_A_MIN,144,2,,0.000152588,-2.5,0.0090909,A,,FLOAT
117,I_LS_W_A_MIN,146,2,,0.000152588,-2.5,0.0090909,A,,FLOAT
118,I_LS_U_A_MAX,148,2,,0.000152588,-2.5,0.0090909,A,,FLOAT
119,I_LS_V_A_MAX,150,2,,0.000152588,-2.5,0.0090909,A,,FLOAT
120,I_LS_W_A_MAX,152,2,,0.000152588,-2.5,0.0090909,A,,FLOAT
121,MICRO_TEMPERATURE,159,2,,0.03125,-40,,deg C,,FLOAT
122,VAL_CHECK_REG_ FAULT_STRUCT0_STATUS,166,4,,,,,,,ASCII
123,VAL_CHECK_REG_FAULT_STRUCT0_DATA0,175,4,,,,,,,ASCII
124,VAL_CHECK_REG_FAULT_STRUCT0_DATA1,184,4,,,,,,,ASCII
