ID,SIGNAL_NAME,OFFSET_NUM,NB_BYTES,MASK_HEX
1,COM_STATUS,0,1,
2,,1,2,
3,,3,2,
4,TSW_VER_STATUS,5,1,
5,,6,1,
6,TSW_ID,7,13,
7,,20,2,
8,VAL_SW_VER_STATUS,22,1,
9,,23,1,
10,VAL_SW_ID,24,16,
11,,40,4,
12,DATE,44,11,
13,TIME,55,8,
14,,63,1,
