ID,SIGNAL_NAME,OFFSET_NUM,NB_BYTES,MASK_HEX
1,COM_STATUS,0,1,
2,,1,2,
3,,3,2,
4,TSW_VER_STATUS,5,1,
5,,6,1,
6,TSW_ID,7,13,
7,,23,2,
8,VAL_SW_VER_STATUS,25,1,
9,,26,1,
10,VAL_SW_ID,27,19,
11,,46,1,
12,DATE,47,10,
13,,57,1,
14,TIME,58,8,
14,,66,1,
